Item,Subject_Gender,Object_Gender,Word,WordNo,RT
16,match,mis,water,8.0,376.5
16,match,mis,tijdens,9.0,369.5
16,match,mis,die,10.0,404.0
16,match,mis,tocht.,11.0,384.0
16,match,mis,Die,12.0,372.0
16,match,mis,hele,13.0,577.5
16,match,mis,dag,14.0,353.0
16,match,mis,had,15.0,329.0
16,match,mis,hij,16.0,361.0
16,match,mis,veel,17.0,312.0
16,match,mis,last,18.0,458.0
16,match,mis,van,19.0,334.0
16,match,mis,zeeziekte.,20.0,476.0
16,mis,match,De,1.0,320.6
16,mis,match,kapitein,2.0,565.8
16,mis,match,zag,3.0,354.2
16,mis,match,een,4.0,296.4
16,mis,match,zeilster,5.0,283.8
16,mis,match,op,6.0,305.6
16,mis,match,het,7.0,296.0
16,mis,match,water,8.0,272.2
16,mis,match,tijdens,9.0,297.2
16,mis,match,die,10.0,368.6
16,mis,match,tocht.,11.0,709.6
16,mis,match,Die,12.0,377.2
16,mis,match,hele,13.0,284.4
16,mis,match,dag,14.0,296.0
16,mis,match,had,15.0,333.8
16,mis,match,zij,16.0,333.4
16,mis,match,veel,17.0,309.0
16,mis,match,last,18.0,336.0
16,mis,match,van,19.0,320.2
16,mis,match,zeeziekte.,20.0,621.2
16,mis,mis,De,1.0,370.6666666666667
16,mis,mis,kapitein,2.0,813.0
16,mis,mis,zag,3.0,351.3333333333333
16,mis,mis,een,4.0,351.0
16,mis,mis,zeiler,5.0,363.6666666666667
16,mis,mis,op,6.0,365.0
16,mis,mis,het,7.0,331.0
16,mis,mis,water,8.0,342.6666666666667
16,mis,mis,tijdens,9.0,339.6666666666667
16,mis,mis,die,10.0,310.0
16,mis,mis,tocht.,11.0,380.6666666666667
16,mis,mis,Die,12.0,739.0
16,mis,mis,hele,13.0,254.0
16,mis,mis,dag,14.0,281.3333333333333
16,mis,mis,had,15.0,745.6666666666666
16,mis,mis,zij,16.0,310.6666666666667
16,mis,mis,veel,17.0,411.3333333333333
16,mis,mis,last,18.0,373.6666666666667
16,mis,mis,van,19.0,349.6666666666667
16,mis,mis,zeeziekte.,20.0,681.3333333333334
17,match,match,De,1.0,332.6666666666667
17,match,match,minister,2.0,324.0
17,match,match,kreeg,3.0,236.66666666666666
17,match,match,van,4.0,204.0
17,match,match,een,5.0,202.33333333333334
17,match,match,boer,6.0,326.3333333333333
17,match,match,vragen,7.0,336.0
17,match,match,over,8.0,714.3333333333334
17,match,match,de,9.0,413.3333333333333
17,match,match,nieuwe,10.0,366.3333333333333
17,match,match,regelgeving.,11.0,539.0
17,match,match,Al,12.0,374.3333333333333
17,match,match,sinds,13.0,297.6666666666667
17,match,match,jaren,14.0,268.6666666666667
17,match,match,gaf,15.0,275.3333333333333
17,match,match,hij,16.0,234.33333333333334
17,match,match,vrijwel,17.0,296.6666666666667
17,match,match,niets,18.0,251.0
17,match,match,om,19.0,192.0
17,match,match,die,20.0,254.66666666666666
17,match,match,regels.,21.0,379.3333333333333
17,match,mis,De,1.0,259.6666666666667
17,match,mis,minister,2.0,258.3333333333333
17,match,mis,kreeg,3.0,328.3333333333333
17,match,mis,van,4.0,221.33333333333334
17,match,mis,een,5.0,200.0
17,match,mis,boerin,6.0,246.66666666666666
17,match,mis,vragen,7.0,313.3333333333333
17,match,mis,over,8.0,391.3333333333333
17,match,mis,de,9.0,295.0
17,match,mis,nieuwe,10.0,265.6666666666667
17,match,mis,regelgeving.,11.0,626.0
